Date Collected	Species	Sex	Weight	Weight unit	Scale calibration status	Plot	Field Season
1/8/1978	DM	F	37				2014
1/8/1978	DM	M					2014
1/8/1978	DM	F	48				2014
1/8/1978	DO	M	52				2014
1/8/1978	OL_M	M	35				2014
7/16/2013	DM	F				2	2013
7/16/2013	DM	M	33	g		7	2013
7/16/2013	DM	M				3	2013
7/16/2013	DM	M				1	2013
7/18/2013	DM	M	40	g		3	2013
7/18/2013	DM	M	48	g		7	2013
7/18/2013	DM	F	29	g		4	2013
7/18/2013	DM	F	37	g		6	2013
8/19/2013	DO	F	52			8	2013
10/17/2013	DO	F	33			3	2013
10/17/2013	DO	F	50			3	2013
11/12/2013	DS	F	117			9	2013
11/13/2013	DS	F	126			11	2013
11/13/2013	DS	M	132		Not calibrated	17	2013
11/13/2013	DS	F	113		Not calibrated	14	2013
11/13/2013	DS	F	122			11	2013
11/13/2013	DS	F	107			4	2013
11/13/2013	DS	F	115			4	2013
12/10/2013	DO	F	40			9	2013
12/10/2013	DO	M	45			1	2013
12/11/2013	DO	F	41			8	2013
1/8/2014	NA						2014
1/8/2014	DM	M	44				2014
1/8/2014	PF	F	7				2014
1/8/2014	DM	M	45				2014
1/8/2014	OT						2014
1/8/2014	DS	M	157		Not calibrated		2014
1/8/2014	OX						2014
1/9/2014	DM	M	40				2014
1/9/2014	DM		36				2014
2/18/2014	NA	M	218		Not calibrated		2014
2/18/2014	PF	F	7				2014
2/18/2014	DM	M	52				2014
3/13/2014	DM	F	51				2014
3/13/2014	DM	F	44				2014
3/13/2014	DS	F	146				2014
3/11/2015	PF	M	8				2014
4/8/2015	NA	F					2014
5/6/2015							2014
5/18/2015	NA	F	182				2014
6/9/2015	OT	F	29				2014
7/8/2015	NA	F	115				2014
7/8/2015	NA	M	190				2014
